flight, total cost 15 min. delay (€), total cost 30 min. delay (€), total cost 60 min. delay (€)
RY144791,644250,4980000,35412000
RT100257,2547000,11591250,57090000
ED27720,6000,12000,7490250
RY127711,481500,5765250,41295000
RT93053,1697250,9642000,54515250
XC63364,1622250,8041500,47427750
AR119539,71250,2124000,29059500
ED161591,36750,2934750,28698750
ED86089,710250,3748500,25435500
VL114556,1756500,9834750,54597000
AR88293,1659750,9684750,58494000
ED7451,1491750,10556250,60996750
VL9182,2000250,12324000,63969750
VL178067,2250,886500,13286250
FT141722,3000,6000,1911750
XC96656,9000,631500,15401250
RT43997,289500,1717500,19533750
RY144119,2613000,12448500,59484000
FT15614,1308750,8011500,43518000
RT156487,1452000,10769250,61889250
FT153911,2174250,9309000,46549500
VL132452,5250,274500,7493250
VL136263,5250,1455750,19851000
KJ160657,15000,1658250,27801000
RT177614,1287000,7375500,50967750
RY113579,2302500,10527750,54760500
VL68312,288750,7844250,57797250
VL19487,6750,1968750,27010500
XC15540,6750,471000,9317250
RT201991,323250,6858000,54967500
KJ57472,3069000,16101750,71856000
RY66707,305250,3185250,40889250
KJ163130,16500,549750,11062500
RT190126,1485000,10252500,60834000
AR27461,9000,458250,17180250
FT46453,1288500,7773750,51547500
RT11405,1226250,6777750,43698000
VL154629,1632750,9281250,53483250
AR103471,1188750,7114500,42070500
FT175266,276000,4609500,38718000
AR147789,3750,865500,24660750
FT19270,3750,747750,16336500
VL140779,22500,1050750,19023000
AR128316,4500,2196000,26489250
ED197716,961500,6000000,39934500
AR58908,1083000,5340750,33350250
KJ145119,41250,1576500,20958000
ED124936,1746750,10158000,60375000
VL101021,6000,494250,14244000
VL23546,1370250,6934500,39314250
XC115233,1251000,6672000,40988250
FT175074,1200750,6795750,44649750
KJ147195,2161500,10803750,54915750
XC23858,77250,1341750,23827500
ED199674,254250,2919750,33740250
RY148310,2448750,11172000,55822500
RY177171,7500,15000,6058500
FT123198,791250,4463250,35329500
KJ89754,13500,1953000,32413500
FT50157,196500,2686500,29396250
RY127535,15750,659250,19650000
ED185869,738750,7385250,52141500
RT58052,177750,1930500,25177500
RT142590,870750,4430250,26289000
AR174855,405000,5922750,52170000
RT159161,793500,5976750,44489250
RY37154,5250,535500,14449500
ED179772,3220500,13530000,62497500
KJ20000,5250,18000,4950750
KJ191852,13500,1605750,17059500
FT40815,1583250,8677500,47127750
XC69514,8250,1281750,23686500
XC167843,1723500,8766750,47167500
ED172413,4500,14250,11402250
VL135962,4500,9000,6359250
VL177142,492750,3036750,28149000
KJ6827,5250,458250,15368250
VL14382,5250,10500,447750
ED11889,1767750,7794000,46377750
RT151150,735000,4461750,33017250
AR146635,6750,1227750,21833250
XC86616,735000,3632250,27394500
KJ84260,8250,1299000,21335250
XC84610,943500,5983500,40162500
FT140449,3000,438000,14671500
FT184898,1719000,9645000,54516750
FT67278,69750,995250,19005000
RY77664,858750,5739000,38751750
VL214531,47250,2251500,23954250
ED106266,357750,2610000,19925250
RT87841,6000,205500,11328000
VL319,474750,3143250,22593000
ED35286,1194000,5684250,34556250
KJ163335,12000,904500,19985250
XC181897,6000,12000,791250
FT206300,6750,1557750,20849250
RY88931,750,1720500,20408250
VL192892,11250,936750,11193000
VL8565,201750,2830500,26189250
FT76288,718500,6180750,42837000
KJ123084,7500,20250,3416250
RT179355,8250,479250,11085000
VL87992,212250,2904750,30728250
AR103837,56250,1014750,12894000
AR141186,1095000,7641000,49173750
RT83311,1500,1956750,23742000
RY214243,148500,5197500,53400750
ED116133,1101750,8610750,58539000
RT58343,3000,864750,25697250
RT72063,2569500,11449500,60707250
ED33292,4500,9000,8917500
RY98022,4500,794250,31707000
VL1921,315000,2689500,40176750
AR98010,45000,6291750,56978250
RT193933,5250,10500,6039750
RT94920,3078750,15560250,75754500
AR5717,6750,808500,24447750
AR92690,6750,13500,6738750
XC76384,750,1420500,25254000
ED194756,7500,1830000,18363000
FT152409,1919250,8180250,44160000
KJ23206,1572000,10435500,64983750
KJ56706,1140750,8214750,54097500
XC7086,7500,19500,13465500
ED113952,292500,5335500,50058000
VL124314,1168500,6008250,43856250
RY92599,2606250,13306500,70746750
XC194174,2625000,14698500,77932500
AR59564,3000,8250,2177250
FT31658,2250,4500,12092250
VL95427,45000,1384500,28420500
XC134642,1022250,7524750,52689000
AR69197,37500,3594000,41154000
KJ185415,3750,1016250,28884750
RY177149,135750,3618750,47512500
KJ202780,1955250,10338750,58164750
RY150660,15750,3288750,38962500
XC133777,321000,6278250,51490500
ED142690,6000,1311750,29985750
XC199088,2637000,11030250,55496250
AR5579,12000,980250,24943500
RT137026,6750,678000,13431000
AR12343,1687500,9102750,52449750
RT92658,7500,15000,11353500
RY37282,24000,2697750,36825750
KJ58960,2979000,15675000,76391250
KJ171065,4139250,15704250,61811250
KJ92960,4518000,21019500,95441250
AR63018,1686750,9993000,59495250
VL123071,933750,5439750,36470250
XC174021,730500,5336250,42556500
ED128653,421500,2884500,34152750
KJ57610,18000,2106000,37253250
RY26042,358500,4335750,40245000
AR201309,2193000,9953250,52417500
AR44451,63000,3216750,42331500
AR74536,1582500,8862000,56649750
XC148528,3672000,15202500,63642750
AR26646,136500,3641250,43791750
FT50029,13500,3540750,41555250
KJ144019,881250,5117250,38476500
RT162302,2151750,11896500,65808750
ED45225,3750,13500,6831750
FT143954,1113000,4522500,36993750
VL179145,2307000,13139250,71101500
VL66143,743250,6804000,51035250
FT80833,14250,1904250,33532500
VL13465,6000,1363500,31616250
VL158636,99000,1659750,26586750
VL192629,1114500,4356000,28681500
RY21733,750,1421250,22213500
XC67901,1333500,8168250,48099000
ED208644,609000,4815750,40764000
RY145112,1744500,9375750,56237250
ED18412,420000,3725250,31310250
ED66918,346500,4159500,39215250
FT11323,4444500,19944000,87954750
FT43289,2250,4500,3879750
FT4765,2250,2601000,35363250
VL44839,3814500,16634250,72165750
RY219338,584250,4866000,39474750
VL119275,3750,1146000,19009500
RY22844,22500,6675750,56761500
RT132969,1175250,7276500,49448250
RT66204,9750,3456000,43324500
XC176782,3681750,17421000,76104000
RY80212,1423500,7561500,51047250
VL104684,148500,2433000,34229250
AR99720,2955000,15903000,75474000
RT114193,30000,6590250,58058250
VL113510,7500,100500,8856750
XC15287,1010250,5061750,32397000
AR58344,2247000,11442000,56919000
ED206098,3186000,13214250,58792500
XC74751,8250,1315500,33931500
ED169715,916500,5469000,41213250
RT175745,1971750,9945000,50057250
FT105434,696000,4914000,39171750
RT6913,1822500,10773750,59646000
VL212969,1146750,5140500,40365000
AR111247,3000,299250,11592000
AR34165,1331250,5827500,36592500
RT51263,3000,39000,9894000
AR119635,637500,5451750,43794000
KJ100110,1371750,7359000,43212000
XC139796,965250,5343000,38020500
KJ13530,471750,5091000,42179250
ED11364,5250,40500,13470000
FT8650,1314750,5716500,35214000
KJ144826,1149750,7689750,54484500
ED10850,179250,4303500,34987500
XC14352,1927500,10413000,56268000
RY30780,2643750,12464250,65587500
RY118602,861750,7524000,51984750
VL162423,2250,391500,12066000
RT97474,1568250,8915250,53688000
ED195401,1635750,8718750,48480750
VL219832,3406500,13359000,65324250
VL112090,1500,7500,6542250
XC8326,1500,110250,13734750
VL1358,10500,605250,24121500
KJ9479,1147500,8339250,53710500
AR51119,1233000,7092000,47326500
RT16786,903750,8979750,64011000
AR109586,4500,222750,8296500
AR194070,1083750,6945000,50676000
RT75400,12750,344250,15847500
XC56951,460500,3762000,26654250
KJ203135,5250,453000,13903500
FT48633,14250,578250,14487750
FT70218,1783500,9575250,52434750
FT71113,543000,7655250,50710500
KJ84003,6000,12000,305250
RT52839,447000,6046500,41585250
FT141409,9000,726750,24459750
FT8999,1353000,9324750,58399500
RY134487,808500,5694750,43815000
ED130571,675750,4545750,38691000
RT74608,712500,4512750,33807750
RY74737,1308000,6519000,40746000
RY121557,742500,4928250,29274000
RY192111,485250,2975250,33681000
RT102946,4500,1266750,28045500
VL100081,1060500,6998250,44649750
FT19875,5250,531000,15957000
XC207630,16500,636000,18251250
AR26852,672750,5253000,43218750
FT55387,2010750,8827500,45607500
RY75702,771000,7119750,44604750
ED184840,14250,495000,10053750
FT133502,16500,3871500,43533000
RY192347,50250,2380500,30903000
XC210768,36750,743250,18503250
FT158652,154500,3807000,44837250
FT176111,1581000,8046000,48504750
KJ172924,314250,1661250,21166500
XC162542,3750,1993500,27082500
AR102598,1612500,8680500,49608750
ED53490,3000,12750,13166250
ED57976,204750,2026500,21747000
RY122210,2495250,12236250,60453750
VL33772,1305000,7012500,42666000
XC40519,904500,6714000,48612750
RT156437,3744750,15645000,70631250
RT201869,257250,2426250,30399750
RY130507,314250,2907000,29932500
XC143265,12750,1707000,25303500
FT120253,5250,10500,1695750
KJ12993,13500,1389000,23322000
AR117175,491250,3855750,30768750
FT43156,1164000,7501500,49524000
AR105748,6750,2252250,23649000
FT109991,1071000,6681750,46799250
AR29481,750,1718250,27067500
ED86004,7500,24750,4390500
KJ165128,3822000,16120500,68021250
RY80925,774000,6432000,46829250
VL156907,7500,20250,4439250
KJ187762,1352250,7203750,45405000
KJ36031,18750,2610750,27713250
RY38505,561000,2774250,21704250
VL128554,1500,1127250,19421250
RT167383,129000,3222750,35132250
RT35400,2250,339000,17344500
VL25460,224250,1254750,12102000
AR117072,700500,6477000,39947250
AR79745,3000,318750,12812250
FT47281,201750,3996000,34032750
RT190000,2148000,10263750,55639500
VL204583,1027500,7282500,47616750
AR197863,436500,4230750,39016500
KJ218717,309000,3499500,36763500
RY119365,1572000,7320750,44882250
RY198895,51000,3583500,41544000
VL183373,4500,1383750,25209750
AR20378,5250,529500,12358500
XC97058,288750,1611750,15522000
KJ215018,415500,2174250,21046500
RY142835,1355250,8645250,52672500
XC187220,18000,985500,14214000
RT214460,681000,3417750,24279750
XC22890,1500,378750,16536750
RT37752,1101000,5986500,40764750
FT185158,8250,26250,1379250
RT201748,1500,201000,4542000
VL33513,1500,1505250,20349000
RY43699,2250,4500,3285000
FT215442,8250,50250,15226500
RY166776,139500,2917500,30267750
VL138918,8250,1285500,23796750
VL145478,6000,216000,5748750
ED109523,6750,28500,7948500
RY162915,4500,1065000,14201250
XC155870,1668750,10290000,56150250
FT182064,623250,5180250,38398500
KJ62309,2203500,9597000,48185250
RT71265,2670750,11556750,51412500
XC175342,9000,998250,24172500
FT94585,1409250,8581500,49008750
KJ99663,6000,1545750,18829500
RT77463,15750,1859250,23661000
VL164018,6000,2514000,30573750
VL94933,6000,1919250,27900750
RY121505,6750,2886750,35019750
XC129626,12750,627750,15131250
VL215954,6000,3730500,42341250
RT84305,1056750,7657500,50508750
XC123649,2471250,12432750,58533750
VL130423,180750,3342000,31613250
RT216734,1299750,8547750,49272000
KJ1106,709500,5532750,35380500
AR211108,681750,6483750,45861750
ED136671,270000,3917250,32346750
XC36233,5250,59250,8862750
AR217164,763500,4155750,30881250
ED213756,413250,6446250,43964250
FT76091,1743750,9184500,49330500
KJ134751,563250,3671250,28364250
XC109266,150750,2952000,29589000
ED60700,2010750,7574250,40881000
ED34730,8250,20250,592500
RY113909,1500,874500,11041500
XC61429,3750,63750,5487000
ED195417,2250,887250,18704250
VL127924,2250,4500,282750
AR74529,333750,3634500,31763250
AR203971,437250,3501750,28597500
AR91175,5250,1314000,25875000
XC93762,24750,408750,13722000
ED28352,227250,1339500,12702750
AR72371,2510250,11193750,54642000
KJ55901,561750,3161250,22854000
VL11563,7500,1637250,25227750
XC116518,657750,4675500,34910250
AR113333,186000,1636500,20012250
FT194876,505500,4674750,31600500
XC12885,2021250,9908250,52788750
RY158450,700500,5775000,46335000
RY198060,1500,3000,19018500
FT21072,1948500,10077000,51538500
RT26882,2250,640500,15650250
RT40993,27000,838500,21335250
VL100440,285000,3478500,36093000
FT190687,2025750,13108500,69888750
RY65974,1881000,9239250,55899750
AR128958,3750,2629500,28902000
AR195396,13500,2697750,36236250
FT123242,214500,4496250,48126750
KJ164566,4500,9000,5736750
AR120688,13500,567750,17777250
AR147807,169500,3579750,45441750
ED171430,3021750,14169000,70392000
AR84704,420000,3883500,32800500
ED16104,9000,1554750,30820500
FT40377,404250,4673250,44731500
VL135084,19500,2046750,30739500
AR2208,8250,838500,26814750
XC151525,791250,4089750,40428750
ED63684,4348500,18423750,78300000
VL211527,27750,3921000,44490750
XC130767,3750,7500,10145250
AR197504,6828000,26907000,101337000
FT101265,16500,1827750,36423000
RT185519,2335500,13710000,70751250
AR49832,5250,1419750,19410750
RT91307,1775250,9278250,60435750
RT98834,1101750,6258750,48740250
XC92207,3132750,15164250,76409250
ED60466,2133750,10503750,51953250
KJ198835,555750,7923750,58103250
VL45519,9750,1026750,32356500
RT70735,750,1500,3874500
VL181915,7500,42750,19110750
RT34650,227250,4359750,45652500
VL67604,2882250,13563750,68997000
XC82572,8250,93750,12139500
FT80585,2916750,14694000,69664500
RY12731,141000,3987000,37996500
RT18355,678000,5727750,44028750
AR105308,1382250,6489000,43225500
AR90301,618750,4512750,40891500
ED143369,93750,1439250,25253250
RY212222,98250,6078000,51490500
KJ15256,10500,42750,11043750
VL174516,496500,5507250,42549750
ED1551,651750,4240500,31169250
FT112517,732750,5562750,43800000
XC57802,175500,7234500,60968250
KJ189365,3750,7500,9301500
RY20763,750,1500,10721250
XC144504,2380500,11955750,60093750
ED203476,374250,7092750,57117000
ED92046,8250,2378250,30093750
FT45996,111000,2977500,42720750
VL108142,16500,2561250,30836250
XC213142,1286250,5822250,33437250
RY1128,1722750,11286750,65484750
RT154046,867000,7614000,54615000
RT182270,2250,772500,19732500
RT191438,2250,591750,24019500
RY93829,436500,3969750,38235000
RT12484,3000,14250,5288250
KJ141602,3750,7500,1086000
AR140975,12750,807000,26523750
AR188879,740250,5576250,39832500
ED123887,3181500,14069250,64263750
FT150508,1703250,8802750,50767500
VL124554,1919250,11567250,64235250
XC104762,5250,12000,4695750
RY191285,1929000,10530750,62265000
XC6519,573750,6958500,53726250
XC81610,859500,6664500,43968750
ED31064,6750,419250,26932500
RT68415,750,1569750,30344250
XC37065,750,546750,16218000
KJ180830,15750,36000,10220250
VL208485,3177750,13719000,63830250
AR172858,8250,1263000,27184500
FT213205,1828500,8878500,53358750
XC12073,4875000,21672750,86637000
VL100021,2250,4500,927000
XC213306,849000,4642500,36438750
RT57682,31500,1508250,24002250
AR200915,467250,7073250,53349000
KJ84155,2346000,11675250,60540000
ED136392,125250,5725500,50139750
XC139394,12750,25500,8037000
FT5015,2522250,10767750,53763750
RT93018,13500,687000,29505750
KJ1403,750,13500,9639000
ED17914,364500,3990750,39965250
ED7059,1225500,7792500,55702500
RY12233,414000,4669500,43828500
VL33917,19500,1815000,21704250
RY19186,12750,1524750,27258750
XC196190,2250,75000,7647000
FT17299,1028250,5880000,43523250
VL107621,4500,23250,10454250
VL176432,3000,650250,18408750
ED90741,3750,2502750,28487250
RT69075,1464000,9084000,55707000
ED191781,1950750,10324500,54781500
RT24794,1221750,5921250,39123750
FT150664,1449750,10475250,62601750
RY25364,6750,723750,20106750
XC154912,760500,5555250,40445250
XC182317,750,1500,16500
ED219101,573750,5470500,48060750
FT130390,3725250,16668000,73481250
KJ177841,7500,15000,1127250
RT109455,2453250,10202250,46811250
RY72343,1559250,8029500,45872250
RT80134,198000,2628750,24612750
ED117125,746250,7324500,50355000
FT166574,1927500,12218250,65028000
FT197784,828000,6224250,45209250
RT102681,1757250,8565750,50881500
RY45212,2250,4500,929250
KJ54612,39000,3117750,42864750
RT80468,367500,4711500,41707500
RY154655,650250,4717500,34549500
XC81172,3000,6000,5241750
KJ20543,147750,2697000,32841000
KJ24392,4500,9000,3726000
RY42446,262500,2381250,31652250
AR38346,34500,879000,23041500
FT56120,942000,5540250,29739000
XC84522,1148250,5554500,35005500
XC174667,36750,2869500,33136500
KJ41361,2250,3486000,34453500
VL39423,273000,3003750,27474750
FT80185,4808250,20929500,87450000
RY89587,2565750,12615750,62901750
AR188760,510750,4022250,36465000
ED213777,1169250,6166500,40988250
KJ41109,14250,1361250,18981000
RY67427,4500,9000,2754750
ED113025,12000,1067250,20692500
RY208581,1299000,7944750,49215750
XC120050,1480500,8450250,51455250
ED113003,1653750,9380250,52705500
FT33381,511500,5555250,43361250
VL150589,750,6750,3245250
ED47953,1735500,7238250,44166000
FT218796,8250,16500,41250
RY176795,254250,3418500,32339250
ED30893,221250,994500,17259000
RT203665,1436250,8730750,49401750
RY58962,1658250,6306750,37730250
XC101130,175500,1013250,10921500
KJ97761,1659000,6468000,39603750
XC114543,2250,4500,8307000
KJ127715,90750,2360250,20160750
XC97915,3000,1814250,31998000
KJ5985,8250,1081500,16309500
FT199716,4500,1293000,22222500
AR195989,66750,3798000,38946750
RY167586,1298250,6234750,40284000
RY103485,6750,13500,1010250
RY86895,419250,3513000,35617500
RT131746,6000,863250,21008250
FT191672,7500,21000,8116500
KJ217297,934500,7739250,49648500
XC148177,18750,1233000,30436500
AR174026,786000,5607750,37022250
ED46049,9000,1089750,21302250
RT95217,1500,3000,4245000
FT10180,2250,1019250,15934500
KJ172161,286500,2778000,20023500
AR40162,3750,374250,7404750
ED99292,365250,2058750,25837500
RY92510,175500,1062000,12054750
FT30108,5250,837000,16688250
XC60338,6000,191250,16736250
FT114471,67500,615750,15651000
KJ121067,1341000,8303250,47115000
RY182878,750,27000,5414250
XC73452,7500,835500,17161500
ED48562,18000,113250,5722500
FT69014,8250,4561500,43832250
ED14737,407250,2751750,22740000
FT92702,178500,1460250,13236750
KJ145670,84750,904500,13638750
VL21599,1500,735000,17571750
ED74472,2250,317250,8455500
AR179581,3750,1283250,22035000
RY2650,396750,4008750,31925250
RY60795,3750,706500,17976000
XC11059,4500,9000,6366000
ED65418,445500,3466500,33243000
RT74699,512250,5359500,41291250
VL26279,81000,1215750,17732250
AR69008,962250,5364750,37800750
VL51096,722250,4345500,28243500
AR111475,1146750,4462500,32280000
XC36232,39000,1731000,14790000
KJ27874,1954500,8103750,43774500
RT46411,2052000,9837000,48106500
KJ90265,18750,1012500,15312000
RT39460,399750,1754250,19572750
AR199833,913500,5336250,33726750
KJ92873,918000,3997500,30494250
RT15372,144000,1683000,17840250
RY115685,801750,5304000,37389750
VL174638,1408500,6320250,36894000
ED167392,693750,5588250,39618000
VL35416,1004250,5980500,35301000
ED15856,447000,3573000,29237250
KJ7442,3750,14250,4293000
ED128260,4500,485250,8116500
ED89564,740250,5914500,38618250
FT107786,159000,3401250,37100250
RY181113,11250,153750,12772500
XC181970,6750,1479750,18378750
KJ80213,1818000,11488500,62204250
RT13054,750,663750,11440500
RT105847,7500,237750,15815250
VL158756,9750,321750,3668250
VL45920,444000,1982250,16733250
ED207585,2733000,10665000,48822000
KJ823,20250,1118250,21883500
XC24441,507750,2893500,25529250
RT25258,1127250,6827250,41339250
RY173792,2214000,11051250,57243000
AR34699,328500,2488500,20952000
KJ202096,387000,3231000,25668750
VL126534,1449000,7037250,34425750
ED157690,7500,1950750,26925000
KJ77872,8250,1178250,17705250
XC159155,948750,4606500,29085000
FT144284,7500,1573500,19730250
RT49029,7500,386250,9762000
RY98461,1641750,9090750,47664000
VL82604,17250,302250,5427750
KJ21140,1668750,7753500,41588250
RT181430,1500,2463000,32619000
VL140794,1500,1737750,26784000
VL74159,1278750,7122750,48234750
ED42063,266250,2013750,19108500
KJ182261,3785250,16477500,71970000
FT134636,11250,4513500,43467750
KJ212797,2761500,15132000,75516000
XC206322,346500,3075750,28101000
AR13062,9750,2920500,44725500
FT48613,1373250,10185000,68898750
VL102089,17250,539250,20637750
RT186811,2397750,13136250,72261750
KJ139227,174750,1851000,18002250
RT37458,711000,5583750,41639250
KJ21088,2960250,16705500,80952750
KJ41526,2063250,11489250,62158500
RT137523,18750,1798500,33824250
RY75038,3705750,19491000,87894000
FT134006,2137500,10992000,57072000
FT210637,788250,5181750,43546500
XC120569,96000,5960250,57755250
XC157961,750,94500,6672000
ED105295,13500,1706250,33946500
ED107398,1160250,5109000,35816250
ED86023,7500,954750,19491000
KJ111566,6750,4165500,43063500
ED185932,527250,6042750,42658500
RT17593,78750,2274750,34422000
RY71328,236250,2619000,31801500
VL36013,912750,5744250,41373750
AR74322,3750,1355250,27078000
ED128857,3750,1053000,20450250
KJ28135,31500,2864250,41313000
XC26469,546750,4267500,32613750
AR162087,2284500,11891250,59462250
ED14856,12750,986250,21188250
FT164443,362250,4993500,45334500
KJ145398,4412250,18258000,78802500
XC81414,12750,713250,21446250
ED216207,1173000,8013000,59258250
KJ14535,527250,6882000,58116750
XC39715,5250,276000,17627250
RT15796,232500,1778250,23618250
VL11952,18000,2082750,36816000
AR189246,1798500,9721500,56364750
ED119738,1728750,9616500,53439000
VL124274,4880250,20238750,85266750
VL65546,416250,3252750,30105000
XC152666,729000,7144500,52519500
RT131605,2431500,12189000,62673000
RT2479,2796750,14566500,71370750
ED36445,828000,4446000,39911250
VL156542,1242000,5485500,30117000
AR59245,3750,15000,648000
VL107334,12000,2300250,34927500
FT114155,474750,6193500,54783000
FT130777,4774500,20004000,84607500
RT203992,2619750,13236000,66320250
RY143125,921750,6898500,52532250
RT78647,750,1647000,23101500
VL44931,750,534750,15576000
RY112865,13500,27000,13095000
KJ189734,888750,5787750,40095750
ED82535,14250,1200750,30574500
KJ118340,2250,1831500,35890500
XC64408,1240500,9425250,59250750
KJ27306,1365000,9576000,59132250
RT206987,2163750,10893000,64395000
VL204471,776250,5309250,41259750
VL95858,3000,6000,4849500
ED128020,3750,771750,16115250
ED112262,1676250,12618000,69312750
KJ41680,1911750,7689000,36339000
RY170187,2854500,14017500,67474500
FT117601,1239750,9412500,57626250
RT179746,3897750,15053250,63693750
RY48008,567000,5008500,38937000
AR140606,1707000,10118250,58369500
ED128508,885000,6591000,45756000
RT81848,534000,5165250,39525750
KJ155341,1304250,7101000,49740000
RT129102,8250,99000,10681500
RY219014,8250,657750,12942750
KJ24627,6000,308250,19086000
RT151313,593250,7227750,55557000
FT11796,24750,4580250,41546250
VL16560,1464000,9118500,53319000
ED16702,4485750,19476750,82471500
VL127942,1040250,5292000,31152000
XC117285,1797750,9503250,50078250
XC6004,3750,15000,6849000
FT144334,4500,702750,21864000
AR132222,13500,1248000,18828750
FT171627,572250,4455000,33402750
XC85951,2373000,11817000,64159500
RT20071,668250,5147250,32730000
RY84778,6750,15750,9235500
ED123430,1598250,9328500,55089750
ED162830,452250,5576250,47668500
XC32737,1635750,9514500,52577250
AR150060,8250,1524750,21503250
FT164583,1337250,6417000,39738000
KJ55500,416250,5316750,39729000
VL106305,25500,3945000,47394000
ED116280,108000,3050250,35759250
XC173174,1729500,8768250,46773750
XC92479,1000500,5787000,36402000
RY154098,9750,1917750,20678250
RT25900,2017500,9633000,53367750
RY122611,183750,1736250,24122250
RT82047,2328000,10776750,54546000
RY203466,1790250,9833250,54732000
VL209350,7500,3587250,39397500
ED92911,33000,1140000,20008500
RY207658,5250,194250,8984250
FT94374,231750,2792250,31672500
KJ53887,6000,1195500,21228750
XC84541,18750,612000,22681500
KJ119167,6750,1534500,25400250
VL108661,1093500,6291750,37790250
VL72213,20250,2452500,37178250
VL168757,1258500,8190000,54981000
FT84230,1115250,7875000,52393500
KJ30194,3723750,17136750,74401500
FT113459,1446000,10427250,58679250
RT143044,24000,860250,17368500
XC100666,1500,2536500,34515750
XC571,30750,220500,11571750
AR22499,1571250,7515000,45511500
KJ122661,922500,4452000,26770500
VL184615,1844250,8814750,46989000
VL36136,1447500,6808500,41261250
VL40265,1367250,7455000,46302750
XC32600,10500,2082750,31944000
XC98427,1190250,7062000,40377000
RY41696,9000,2566500,31338750
KJ184453,1304250,7419750,46506750
VL87466,5250,588000,18081750
KJ19427,21000,3282750,33607500
RY113465,10500,554250,13833750
RY12061,6000,128250,12513000
RY125622,426000,5595000,44920500
XC148118,12000,683250,19864500
ED198803,881250,7338750,50881500
KJ173992,3825750,16543500,72897000
KJ33539,22500,2625000,32053500
VL113841,178500,1857750,21097500
RT3567,750,294000,21286500
RY106511,15750,2237250,25581750
AR174813,23250,2711250,28928250
FT212605,2268000,11272500,53394750
FT61378,14250,240750,15773250
RT184533,7500,51000,4191000
RT79911,7500,575250,12051000
AR127993,279750,3484500,35826000
ED126129,2886000,13255500,63901500
RT171002,4270500,17868000,73695000
ED179419,489000,4197000,31211250
AR129143,3000,336750,20124750
RY217303,3252000,14527500,67481250
XC167576,275250,2277750,28325250
ED94637,2089500,9874500,54309000
RT205864,633750,4977000,33316500
AR122985,6000,12000,5397000
FT54373,14250,387750,16083750
AR16444,12000,1284000,25455750
RT100845,935250,6681000,46342500
RT76259,36000,1933500,32117250
VL112992,8250,16500,33000
XC41390,986250,6837750,44805750
FT150153,2250,7500,6671250
RT63015,1311000,7748250,47714250
VL95483,246750,1828500,18186750
XC147317,993000,6710250,39965250
XC8106,2128500,11502000,57309000
ED105569,223500,2297250,22188000
KJ130768,245250,2135250,25460250
KJ196553,3000,6000,3953250
KJ81115,1407750,10206000,57752250
XC129448,3750,1946250,29529750
XC75421,1287000,6433500,37983000
RT209209,5250,457500,12012000
VL69140,320250,3024750,27316500
FT110215,9750,1182750,24759750
KJ38103,6750,698250,17435250
VL39123,3725250,16485000,72687000
KJ21215,750,1326750,20994750
VL123643,388500,2274750,26657250
AR193001,1731000,9156000,50718750
VL173702,7500,1150500,19842000
AR32797,2406000,12708750,59553000
RY63105,8250,45750,6166500
VL73103,435750,2361000,18505500
ED207078,90000,1953750,25388250
ED34922,396750,3313500,31322250
VL59122,1831500,9728250,51360000
XC178152,2019000,8699250,44338500
XC62797,29250,1998750,26747250
AR146871,347250,3125250,28094250
KJ109500,69750,493500,5336250
VL78138,2990250,14258250,66870750
XC35703,4500,892500,14964750
KJ1932,654750,6213750,42509250
VL207902,705750,6165750,44731500
FT32421,492750,3881250,31530750
FT5042,204750,2311500,19515750
RT40188,574500,2926500,18378000
RY40410,6000,12750,3795000
RY81033,7500,19500,1275000
VL168108,6750,28500,2721750
AR94490,685500,4909500,37170000
ED36047,750,115500,6777750
XC177364,1926750,9160500,49203750
AR77483,14250,34500,6519000
ED89345,305250,3217500,26265750
KJ158953,828000,5140500,30864000
RT167641,288000,3236250,28648500
XC109005,511500,2878500,25887000
XC144636,856500,5301000,31525500
VL35272,781500,3824250,25236000
FT184707,96000,1216500,16374000
RY152981,2250,332250,14385000
VL189348,4500,756000,19764000
AR33395,2347500,11022750,57009750
KJ110329,2588250,11361750,56301000
KJ20172,776250,5679750,43305750
RY179370,301500,4460250,35471250
KJ85946,18000,729750,10955250
FT144550,22500,947250,13530750
XC205334,6000,12000,1399500
AR45481,1747500,8483250,46653000
ED165645,1098750,6138000,36642750
KJ152970,6750,27750,2588250
RT25389,18000,1185750,23948250
AR97524,750,1500,6552000
AR106487,82500,1724250,25537500
AR28731,8250,31500,8967000
FT31693,138750,944250,13040250
RY142252,307500,2319000,24325500
VL137201,1500,6750,12318750
FT191433,532500,4179750,33706500
FT129308,30750,2424000,26520000
AR144779,9000,2484000,26081250
AR184846,4500,141750,6155250
XC143899,1131000,7604250,46834500
FT181595,26250,1238250,20240250
KJ164696,432750,3860250,33822750
RT73945,6000,322500,14882250
KJ166573,870750,3717750,22464000
RT214401,1641000,6658500,30402750
XC131658,2139000,10212750,54894000
FT64941,750,1500,8538750
ED145722,7500,472500,16727250
AR166000,10500,1017750,18476250
ED20415,302250,4273500,36113250
FT157067,687000,3675750,25307250
VL173253,483750,1992000,15921750
RT143685,223500,1302000,18717000
XC101934,1046250,6046500,33333000
AR47246,149250,1508250,21955500
FT131676,1017750,5229000,35196000
KJ183273,602250,3924750,30555000
ED147086,213000,2676750,28751250
FT127083,2602500,11628750,53806500
VL31543,1070250,7810500,43213500
XC14692,462000,3678000,26950500
KJ6032,279000,3210750,29249250
RY83425,319500,3048750,29315250
ED178397,15750,66750,7830750
